,0
name,八佰
movieType,类型:剧情／战争／历史
releaseDate,上映时间:2020-08-21
name,我在时间尽头等你
movieType,类型:爱情／奇幻／喜剧
releaseDate,上映时间:2020-08-25
name,荞麦疯长
movieType,类型:剧情／爱情
releaseDate,上映时间:2020-08-25
name,哈利·波特与魔法石
movieType,类型:奇幻／冒险
releaseDate,上映时间:2020-08-14
name,误杀
movieType,类型:剧情／犯罪
releaseDate,上映时间:2019-12-13
name,1917
movieType,类型:剧情／战争／历史
releaseDate,上映时间:2020-08-07
name,星际穿越
movieType,类型:剧情／科幻／冒险
releaseDate,上映时间:2020-08-02
name,小妇人
movieType,类型:爱情／剧情
releaseDate,上映时间:2020-08-25
name,刺猬索尼克
movieType,类型:动画／冒险／喜剧
releaseDate,上映时间:2020-07-31
name,抵达之谜
movieType,类型:剧情／爱情／青春
releaseDate,上映时间:2020-07-31
